Section,Sub-Section,Title,Type,Priority,Preconditions,Steps,Expected Result
"Navigation & Pages","","[C001] Home page displays with search bar and feature cards","Manual","High","","1. Open https://explorer.arkade.sh","Search bar is prominently visible at the top + feature cards (Recent Transactions, Network Stats, etc.) are displayed below"
"Navigation & Pages","","[C002] Transaction page shows correct transaction details","Manual","High","Have a valid transaction ID","1. Navigate to /tx/<valid-txid>","All sections (overview, inputs, outputs, timestamps, raw hex) load correctly with accurate data"
"Navigation & Pages","","[C003] Commitment transaction page displays full transaction information","Manual","High","Have a known commitment transaction ID","1. Open a commitment transaction","Batch list, batch tree, forfeit inputs, connector outputs, raw hex viewer are all present and populated"
"Navigation & Pages","","[C004] Address page shows VTXO list and statistics","Manual","High","Have a valid address with VTXOs","1. Navigate to /address/<addr>","Statistics card + paginated VTXO table are displayed"
"Navigation & Pages","","[C005] 404 page appears for invalid URLs","Manual","High","","1. Navigate to https://explorer.arkade.sh/thisdoesnotexist","Custom 404 page is shown (not browser default)"
"Navigation & Pages","","[C006] Header navigation works on all pages","Manual","High","","1. From any page click logo or Home link","Navigates back to home without full page reload"
"Navigation & Pages","","[C007] Footer displays on all pages","Manual","High","","1. Visit Home, Tx, Address, 404 pages","Footer with copyright/links is visible on every page"
"Search Functionality","","[C010] Search accepts 64-character hex strings (transaction IDs)","Manual","High","","1. Paste any 64-char lowercase hex string → Enter","No format error – proceeds to lookup"
"Search Functionality","","[C011] Search accepts Bitcoin addresses","Manual","High","","1. Paste any valid P2TR/P2WSH address → Enter","Navigates to address page if found"
"Search Functionality","","[C012] Search navigates to correct page after submission","Manual","High","","1. Search txid → /tx/<txid>, 2. Search address → /address/<addr>","URL and page content match searched item"
"Search Functionality","","[C013] Search bar clears after successful navigation","Manual","High","","1. Perform successful search","Search input field becomes empty after navigation"
"Search Functionality","","[C014] Search available from home page","Manual","High","","1. Load home page","Large centered search bar is visible and focused"
"Search Functionality","","[C015] Search available from header on all pages","Manual","High","","1. Go to any page (tx, address, 404)","Search bar remains in header and is functional"
"Search Functionality","","[C016] Recent searches appear below search bar","Manual","High","Perform at least 3 searches first","1. Look below search input","List of recent searches is displayed"
"Search Functionality","","[C017] Pin icon saves searches to top of recent list","Manual","High","Recent searches exist","1. Click pin icon on a recent item","Item moves to top and gets pin badge"
"Search Functionality","","[C018] Unpin icon removes pinned status","Manual","High","Have a pinned search","1. Click unpin icon","Item loses pin and returns to normal recent position"
"Search Functionality","","[C019] Recent searches persist across sessions (no expiration)","Manual","High","Have pinned and recent items","1. Close browser tab → reopen site","All recent and pinned searches are still present"
"Transaction Display – Commitment Transactions","","[C030] Transaction ID displays correctly","Manual","High","On any commitment tx page","1. View transaction ID at top","Full 64-char txid is shown and matches URL"
"Transaction Display – Commitment Transactions","","[C031] Copy button copies transaction ID to clipboard","Manual","High","","1. Click copy icon next to txid → paste","Clipboard contains exact txid + icon briefly turns to checkmark"
"Transaction Display – Commitment Transactions","","[C032] Started and ended timestamps display","Manual","High","","1. View timestamp section","Both 'Started' and 'Ended' times are shown in local timezone"
"Transaction Display – Commitment Transactions","","[C033] Total input/output amounts show correctly","Manual","High","","1. View summary cards","Input total = Output total (or correct difference with fees)"
"Transaction Display – Commitment Transactions","","[C034] Total input/output VTXO counts display","Manual","High","","1. View VTXO count badges","Counts are accurate and visible"
"Transaction Display – Commitment Transactions","","[C035] Regular inputs show outpoint (txid:vout)","Manual","High","Tx has regular inputs","1. Expand Inputs","Each regular input shows txid:vout format"
"Transaction Display – Commitment Transactions","","[C036] Links to mempool.space for regular inputs","Manual","High","","1. Click any regular input","Opens correct tx on mempool.space in new tab"
"Transaction Display – Commitment Transactions","","[C037] Forfeit inputs have orange border and FORFEIT label","Manual","High","Tx has forfeit input","Forfeit inputs have orange border + FORFEIT badge"
"Transaction Display – Commitment Transactions","","[C038] Forfeit inputs link to forfeit transaction","Manual","High","","1. Click arrow on forfeit input","Navigates to correct forfeit tx page"
"Transaction Display – Commitment Transactions","","[C039] Batch outputs have orange border and Batch #X label","Manual","High","Commitment tx with batches","Batch outputs have orange border + Batch #1, #2, etc."
"Transaction Display – Commitment Transactions","","[C040] VTXO count shown for each batch output","Manual","High","","Next to each batch → X VTXOs displayed"
"Transaction Display – Commitment Transactions","","[C041] Arrow on batch output links to root transaction","Manual","High","","1. Click arrow on batch","Navigates to root tx of that batch"
"Transaction Display – Commitment Transactions","","[C042] Connector outputs have blue border and CONNECTOR label","Manual","High","Tx has connector","Connector outputs have blue border + CONNECTOR badge"
"Transaction Display – Commitment Transactions","","[C043] Arrow on connector links to root connector tx","Manual","High","","1. Click arrow on connector","Navigates to correct connector root tx"
"Transaction Display – Commitment Transactions","","[C044] Regular outputs have purple border","Manual","High","Tx has regular outputs","Regular outputs have purple border"
"Transaction Display – Commitment Transactions","","[C045] Output amounts display correctly in selected unit","Manual","High","","All output amounts match blockchain data in sats or BTC"
"Transaction Display – Commitment Transactions","","[C046] Script previews show (truncated)","Manual","High","","Each output shows script preview with ... if long"
"Transaction Display – Commitment Transactions","","[C047] Batch list displays all batches","Manual","High","","All batches from commitment tx are listed"
"Transaction Display – Commitment Transactions","","[C048] Each batch shows amount, VTXO count, expiration, swept status","Manual","High","","All four fields visible per batch"
"Transaction Display – Commitment Transactions","","[C049] Batch tree expands/collapses on click","Manual","High","","Clicking toggle expands and collapses tree smoothly"
"Transaction Display – Commitment Transactions","","[C050] Tree shows correct parent-child relationships","Manual","High","","Tree structure accurately reflects on-chain relationships"
"Transaction Display – Commitment Transactions","","[C051] Raw transaction hex viewer expands/collapses","Manual","High","","Click Raw Hex → section expands"
"Transaction Display – Commitment Transactions","","[C052] Copy button copies raw hex correctly","Manual","High","","Click copy → paste → full raw tx hex in clipboard"
"Transaction Display – Arkade Transactions","","[C060] Transaction details display for non-commitment tx","Manual","High","Open regular Arkade tx","All standard fields visible"
"Transaction Display – Arkade Transactions","","[C061] Input/output information shows correctly","Manual","High","","Inputs and outputs listed with amounts and addresses"
"Transaction Display – Arkade Transactions","","[C062] Links to mempool.space work","Manual","High","","Clicking any tx link opens mempool.space"
"Transaction Display – Arkade Transactions","","[C063] Spent/unspent status indicators appear","Manual","High","","Green = Active, Gray = Spent, Yellow = Swept badges"
"Transaction Display – Arkade Transactions","","[C064] Links to spending transactions work","Manual","High","VTXO is spent","Click spending tx link → correct tx page"
"Transaction Display – Arkade Transactions","","[C065] Forfeit transactions show Arkade Operator label","Manual","High","Open forfeit tx","Arkade Operator label visible"
"Transaction Display – Arkade Transactions","","[C066] Checkpoint transactions identified correctly","Manual","High","Open checkpoint tx","Checkpoint badge or label shown"
"Address Page","","[C070] Address/script displayed at top + copy button","Manual","High","","Full address shown with working copy button"
"Address Page","","[C071] Statistics card shows total balance (active VTXOs)","Manual","High","","Balance = sum of all Active VTXOs"
"Address Page","","[C072] Statistics card shows total received","Manual","High","","Total received amount correct"
"Address Page","","[C073] Statistics card shows VTXO counts (total/active/spent/swept)","Manual","High","","All four counts accurate"
"Address Page","","[C074] VTXO list shows status badges (Active/Spent/Swept)","Manual","Manual","High","","Correct color badges: green/gray/yellow"
"Address Page","","[C075] VTXO list shows outpoint with copy button","Manual","High","","Outpoint txid:vout + copy works"
